Ratio,variable,value,err
0.66,DENm,3.713778,
0.93,DENm,4.980855,
1.08,DENm,4.113601,
1.16,DENm,3.14101,
1.23,DENm,1.723895,
1.5,DENm,0.744292,
1.87,DENm,0.732328,
0.66,DNRAm,0,
0.93,DNRAm,0.2,
1.08,DNRAm,1.6,
1.16,DNRAm,3,
1.23,DNRAm,5.2,
1.5,DNRAm,6.7,
1.87,DNRAm,6.7,
0.66,DENo,3.6096,0.1504
0.93,DENo,3.942310001,0.092760235
1.08,DENo,2.952472085,0.385105055
1.16,DENo,2.059591788,0.541997839
1.23,DENo,1.493666707,0.119493337
1.5,DENo,0.086573418,0.173146836
1.87,DENo,0.085017409,0.170034818
0.66,DNRAo,0,0
0.93,DNRAo,0.695701765,0.092760235
1.08,DNRAo,3.465945492,0.385105055
1.16,DNRAo,3.360386601,0.541997839
1.23,DNRAo,4.48100012,0.119493337
1.5,DNRAo,8.5707684,0.173146836
1.87,DNRAo,8.416723496,0.170034818