batch,value,variable,treatment
A,1,u1,ref
B,0.884,u1,ref
C,0.686,u1,ref
D,0.546,u1,ref
E,0.34,u1,ref
F,0.194,u1,ref
G,0.19,u1,ref
A,0,u2,ref
B,-0.116,u2,ref
C,-0.314,u2,ref
D,-0.454,u2,ref
E,-0.66,u2,ref
F,-0.806,u2,ref
G,-0.81,u2,ref
A,1,u1,mid
B,0.747,u1,mid
C,0.36,u1,mid
D,0.22,u1,mid
E,0.12,u1,mid
F,0.066,u1,mid
G,0.066,u1,mid
A,0,u2,mid
B,-0.252,u2,mid
C,-0.64,u2,mid
D,-0.78,u2,mid
E,-0.88,u2,mid
F,-0.93,u2,mid
G,-0.95,u2,mid
A,1,u1,high
B,0.695,u1,high
C,0.26,u1,high
D,0.155,u1,high
E,0.09,u1,high
F,0.0465,u1,high
G,0.046,u1,high
A,0,u2,high
B,-0.305,u2,high
C,-0.74,u2,high
D,-0.845,u2,high
E,-0.91,u2,high
F,-0.954,u2,high
G,-0.95,u2,high