Ratio,species,source,value
0.66,Ac,measured,0
0.93,Ac,measured,0
1.08,Ac,measured,0
1.16,Ac,measured,0
1.23,Ac,measured,0
1.5,Ac,measured,0
1.87,Ac,measured,4.6
0.66,Ac,modeled,0
0.93,Ac,modeled,0.18
1.08,Ac,modeled,0.8
1.16,Ac,modeled,0.74
1.23,Ac,modeled,0.06
1.5,Ac,modeled,2.01
1.87,Ac,modeled,6.4
0.66,Amm,measured,0.33
0.93,Amm,measured,0.07
1.08,Amm,measured,1.87
1.16,Amm,measured,3.78
1.23,Amm,measured,6.09
1.5,Amm,measured,8.69
1.87,Amm,measured,8.35
0.66,Amm,modeled,0
0.93,Amm,modeled,0.22
1.08,Amm,modeled,2.02
1.16,Amm,modeled,3.94
1.23,Amm,modeled,6.7
1.5,Amm,modeled,8.74
1.87,Amm,modeled,8.77
0.66,Nat,measured,3.72
0.93,Nat,measured,0
1.08,Nat,measured,0
1.16,Nat,measured,0
1.23,Nat,measured,0
1.5,Nat,measured,0
1.87,Nat,measured,0
0.66,Nat,modeled,3.26
0.93,Nat,modeled,0.09
1.08,Nat,modeled,0.01
1.16,Nat,modeled,0.03
1.23,Nat,modeled,0.11
1.5,Nat,modeled,0
1.87,Nat,modeled,0