time,Nat,Nit,N2O
1,1.42,1.42,0.71
2,1.4152,1.4133,0.7095
3,1.4104,1.4066,0.709
4,1.4056,1.3999,0.7085
5,1.4008,1.3932,0.708
6,1.396,1.3865,0.7075
7,1.3912,1.3798,0.707
8,1.3864,1.3731,0.7065
9,1.3816,1.3664,0.706
10,1.3768,1.3597,0.7055
11,1.372,1.353,0.705
12,1.3672,1.3463,0.7045
13,1.3624,1.3396,0.704
14,1.3576,1.3329,0.7035
15,1.3528,1.3262,0.703
16,1.348,1.3195,0.7025
17,1.3432,1.3128,0.702
18,1.3384,1.3061,0.7015
19,1.3336,1.2994,0.701
20,1.3288,1.2927,0.7005
21,1.324,1.286,0.7
22,1.3192,1.2793,0.6995
23,1.3144,1.2726,0.699
24,1.3096,1.2659,0.6985
25,1.3048,1.2592,0.698
26,1.3,1.2525,0.6975
27,1.2952,1.2458,0.697
28,1.2904,1.2391,0.6965
29,1.2856,1.2324,0.696
30,1.2808,1.2257,0.6955
31,1.276,1.219,0.695
32,1.2712,1.2123,0.6945
33,1.2664,1.2056,0.694
34,1.2616,1.1989,0.6935
35,1.2568,1.1922,0.693
36,1.252,1.1855,0.6925
37,1.2472,1.1788,0.692
38,1.2424,1.1721,0.6915