batch,variable ,value
A,Nat,0.61
A,Nit,0.24
A,Nitrous,0.15
B,Nat,0
B,Nit,0.6
B,Nitrous,0.4
C,Nat,0
C,Nit,0
C,Nitrous,1
D,Q,1
E,Nat,0.57
E,Nit,0.26
E,Nitrous,0.17
F,Nat,0
F,Nit,0.61
F,Nitrous,0.39
G,Nat,0
G,Nit,0
G,Nitrous,1
H,Q,1
I,Nat,0.36
I,Nit,0.41
I,Nitrous,0.23
J,Nat,0
J,Nit,0.63
J,Nitrous,0.37
K,Nat,0
K,Nit,0
K,Nitrous,1
L,Q,1
M,Nat,0.53
M,Nit,0.3
M,Nitrous,0.17
N,Nat,0
N,Nit,0.59
N,Nitrous,0.41
O,Nat,0
O,Nit,0
O,Nitrous,1
P,Q,1
R,Nat,0.52
R,Nit,0.42
R,Nitrous,0.06
S,Q,1
T,Nat,0.71
T,Nit,0.2
T,Nitrous,0.09
V,Q,1
X,Nat,0.57
X,Nit,0.28
X,Nitrous,0.15