time,level2
0,185.5659609
2.097902098,184.7516287
3.146853147,174.9796417
3.776223776,159.507329
6.713286713,111.0545603
7.972027972,76.85260586
10.90909091,48.3509772
13.00699301,25.95684039
14.8951049,10.89169381
20.76923077,8.041530945
29.16083916,8.041530945
34.39160839,9.39
40.68531469,11.39
48.02797203,30.02850163
52.01398601,50.79397394
55.58041958,72.3737785
60.82517483,93.13925081
66.90909091,113.0903909
75.09090909,135.8916938
88.51748252,157.0643322
101.5244755,168.8721498
114.1118881,174.9796417